F,Marguerite,12
F,Melody,12
F,Rachelle,12
F,Sarina,12
F,Sidney,12
F,Simone,12
F,Taryn,12
F,Tatum,12
F,Violet,12
F,Abbey,11
F,Aimee,11
F,Alejandra,11
F,Alessandra,11
F,Annalise,11
F,Aryana,11
F,Beatrice,11
F,Carina,11
F,Carmen,11
F,Eleni,11
F,Elisa,11
F,Felicity,11
F,Greta,11
F,Hillary,11
F,Hunter,11
F,Irene,11
F,Jaime,11
F,Jayden,11
F,Juliet,11
F,Justine,11
F,Kailyn,11
F,Katlyn,11
F,Laurel,11
F,Leila,11
F,Madisyn,11
F,Neha,11
F,Niamh,11
F,Noor,11
F,Raven,11
F,Reina,11
F,Rylie,11
F,Sharon,11
F,Shayna,11
F,Susan,11
F,Tamara,11
F,Teagan,11
F,Thalia,11
F,Thea,11
F,Tyler,11
F,Wendy,11
F,Alia,10
F,Aliza,10
F,Ally,10
F,Amari,10
F,Angie,10
F,Aria,10
F,Barbara,10
F,Brynn,10
F,Clarissa,10
F,Dorothy,10
F,Elaina,10
F,Ellie,10
F,Emerson,10
F,Imani,10
F,Jayla,10
F,Jazmin,10
F,Joselyn,10
F,Kaley,10
F,Katerina,10
F,Kelley,10
F,Laila,10
F,Lara,10
F,Lia,10
F,Micaela,10
F,Mikaela,10
F,Nathalia,10
F,Paulina,10
F,Quinn,10
F,Shania,10
F,Shea,10
F,Skyla,10
F,Sylvia,10
F,Tanya,10
F,Tianna,10
F,Valeria,10
F,Virginia,10
F,Whitney,10
F,Willow,10
F,Abigale,9
F,Aidan,9
F,Alayna,9
F,Allie,9
F,Aoife,9
F,Ayla,9
F,Beatriz,9
F,Bella,9
F,Brittney,9
F,Cailin,9
F,Christiana,9
F,Dina,9
F,Eden,9
F,Hadley,9
F,Harley,9
F,Janessa,9
F,Jaylene,9
F,Jessalyn,9
F,Jolie,9
F,Judith,9
F,Karissa,9
F,Keira,9
F,Kellie,9
F,Kenya,9
F,Kerry,9
F,Leanna,9
F,Leilani,9
F,Lilian,9
F,Linnea,9
F,Maegan,9
F,Mairead,9
F,Martha,9
F,Natalya,9
F,Nayelis,9
F,Paula,9
F,Ryley,9
F,Salma,9
F,Shivani,9
F,Shyanne,9
F,Siobhan,9
F,Yasmin,9
F,Yasmine,9
F,Adeline,8
F,Adrienne,8
F,Aine,8
F,Alaina,8
F,Anisa,8
F,Ariella,8
F,Asia,8
F,Aubrey,8
F,Brandi,8
F,Brandy,8
F,Bridgette,8
F,Cailey,8
F,Cailyn,8
F,Camilla,8
F,Celina,8
F,Cierra,8
F,Elaine,8
F,Elyse,8
F,Esmeralda,8
F,Gia,8
F,Giulia,8
F,Gwyneth,8
F,Hana,8
F,Iliana,8
F,Ingrid,8
F,Isadora,8
F,Isis,8
F,Janet,8
F,Jazmine,8
F,Joanne,8
F,Joy,8
F,Justice,8
F,Kacie,8
F,Kaitlynn,8
F,Kim,8
F,Lianna,8
F,Linda,8
F,Logan,8
F,Lyndsey,8
F,Macie,8
F,Malia,8
F,Maryam,8
F,Marykate,8
F,Nayely,8
F,Nichole,8
F,Noa,8
F,Rita,8
F,Rory,8
F,Rosa,8
F,Sandy,8
F,Sarai,8
F,Sheila,8
F,Sheridan,8
F,Shirley,8
F,Stacey,8
F,Stephany,8
F,Toni,8
F,Abigayle,7
F,Ada,7
F,Addison,7
F,Aileen,7
F,Aislinn,7
F,Aliya,7
F,Amara,7
F,Anaya,7
F,Anita,7
F,Arielle,7
F,Aryanna,7
F,Asha,7
F,Ayana,7
